ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
0.669,-0.077,1.021,8.24,-19.958,-22.827,0.843,-0.16,1.355,-0.427,-25.208,28.503,67,105,Vlad
0.578,-0.054,1.023,18.555,-14.893,-16.907,0.844,-0.129,1.303,-2.136,-28.198,23.926,67,106,Vlad
0.644,-0.035,1.02,23.132,-24.109,-14.893,0.838,-0.15,1.279,-5.737,-35.645,19.653,67,107,Vlad
0.475,-0.024,1.084,19.836,-18.86,-12.207,0.833,-0.144,1.352,-6.042,-31.921,14.648,67,108,Vlad
0.472,-0.007,1.188,21.423,-7.996,-5.554,0.84,-0.15,1.33,-7.507,-28.198,9.277,67,109,Vlad
0.534,-0.046,1.149,17.395,1.16,-0.061,0.814,-0.144,1.317,-7.141,-22.827,2.38,67,110,Vlad
0.549,-0.042,1.124,11.597,6.042,-0.244,0.821,-0.114,1.276,-5.554,-21.545,-3.296,67,111,Vlad
0.551,-0.093,1.088,7.568,9.46,5.31,0.828,-0.098,1.269,-5.066,-21.301,-8.484,67,112,Vlad
0.467,-0.087,1.087,6.531,8.301,7.446,0.833,-0.1,1.289,-4.211,-15.747,-12.939,67,113,Vlad
0.554,-0.068,1.133,5.371,-2.502,8.118,0.84,-0.125,1.318,-3.723,-8.972,-17.7,67,114,Vlad
0.604,-0.044,1.133,1.648,-3.418,8.24,0.804,-0.133,1.316,-5.615,-1.343,-23.01,67,115,Vlad
0.547,-0.062,1.072,3.662,3.113,12.817,0.768,-0.112,1.331,-4.7,3.174,-28.076,67,116,Vlad
0.529,-0.074,1.121,3.174,5.859,17.944,0.792,-0.076,1.298,-5.249,2.808,-31.067,67,117,Vlad
0.587,-0.108,1.126,1.282,8.301,18.494,0.747,-0.104,1.317,-5.493,6.531,-34.607,67,118,Vlad
0.662,-0.063,1.094,6.409,12.207,20.752,0.815,-0.062,1.331,-9.827,8.606,-34.424,67,119,Vlad
0.591,-0.11,1.007,9.766,13.489,27.283,0.788,-0.068,1.331,-10.01,13.123,-37.659,67,120,Vlad
0.581,-0.118,1.048,17.456,4.272,28.32,0.806,-0.024,1.317,-10.498,16.785,-38.757,67,121,Vlad
0.613,-0.117,1.078,18.494,1.587,30.884,0.797,-0.035,1.344,-12.817,12.695,-40.588,67,122,Vlad
0.587,-0.146,1.042,24.719,5.859,32.959,0.837,0.012,1.345,-16.602,9.888,-41.26,67,123,Vlad
0.558,-0.134,1.07,31.555,6.348,35.706,0.783,0.044,1.346,-20.569,12.756,-41.87,67,124,Vlad
0.559,-0.143,1.074,35.828,3.357,37.72,0.806,0.062,1.334,-28.992,6.714,-41.626,67,125,Vlad
0.603,-0.149,1.068,40.466,0.061,38.269,0.832,0.027,1.346,-41.565,-0.793,-42.297,67,126,Vlad
0.537,-0.173,1.071,47.791,-0.366,39.917,0.76,0.055,1.353,-54.932,-4.089,-41.565,67,127,Vlad
0.472,-0.201,1.078,55.42,-2.319,38.94,0.84,0.109,1.336,-63.11,-2.197,-41.565,67,128,Vlad
0.533,-0.228,1.149,60.12,-13.611,33.447,0.792,0.102,1.262,-69.397,-2.38,-42.236,67,129,Vlad
0.573,-0.246,1.171,61.951,-14.648,30.09,0.821,0.133,1.26,-67.2,0.183,-43.64,67,130,Vlad
0.617,-0.269,1.109,64.453,2.625,30.579,0.778,0.151,1.25,-63.049,0.061,-43.945,67,131,Vlad
0.555,-0.311,1.057,63.782,20.813,33.203,0.774,0.165,1.291,-55.42,3.723,-44.739,67,132,Vlad
0.371,-0.302,1.067,61.035,41.016,39.49,0.77,0.212,1.311,-48.523,8.057,-44.922,67,133,Vlad
0.326,-0.328,1.225,50.293,22.522,44.006,0.753,0.254,1.321,-38.391,15.93,-45.532,67,134,Vlad
0.455,-0.338,1.317,35.461,0.061,39.49,0.752,0.277,1.324,-30.64,14.709,-45.349,67,135,Vlad
0.573,-0.37,1.232,26.672,13.245,40.283,0.731,0.292,1.34,-22.949,14.16,-45.715,67,136,Vlad
0.503,-0.447,1.167,27.405,30.151,46.753,0.803,0.279,1.382,-17.761,12.451,-47.18,67,137,Vlad
0.479,-0.433,1.17,29.175,30.029,51.636,0.75,0.288,1.37,-16.113,14.709,-49.438,67,138,Vlad
0.487,-0.424,1.263,27.222,18.799,46.143,0.704,0.308,1.36,-15.93,15.93,-50.598,67,139,Vlad
0.531,-0.398,1.292,27.344,12.573,46.753,0.724,0.357,1.379,-17.639,12.085,-50.903,67,140,Vlad
0.599,-0.457,1.24,29.358,16.785,45.471,0.735,0.349,1.382,-22.339,7.751,-51.147,67,141,Vlad
0.447,-0.508,1.219,33.508,26.245,45.227,0.701,0.329,1.412,-25.94,9.644,-51.27,67,142,Vlad
0.36,-0.482,1.282,39.429,24.658,45.837,0.64,0.374,1.398,-30.457,10.498,-50.781,67,143,Vlad
0.297,-0.429,1.407,39.063,2.747,38.635,0.705,0.378,1.445,-32.41,8.85,-49.255,67,144,Vlad
0.502,-0.416,1.4,35.645,-4.211,32.837,0.687,0.4,1.445,-35.889,7.385,-48.523,67,145,Vlad
0.513,-0.524,1.236,30.396,12.39,34.912,0.652,0.416,1.422,-36.926,8.179,-48.401,67,146,Vlad
0.39,-0.636,1.233,38.696,12.024,31.86,0.576,0.425,1.442,-36.743,8.911,-47.668,67,147,Vlad
0.363,-0.555,1.362,44.861,2.563,28.381,0.708,0.439,1.48,-37.17,4.7,-46.143,67,148,Vlad
0.46,-0.494,1.372,40.1,-1.831,22.217,0.649,0.473,1.438,-40.1,4.15,-44.678,67,149,Vlad
0.479,-0.607,1.334,37.476,2.136,24.78,0.697,0.487,1.435,-37.903,8.728,-44.678,67,150,Vlad
0.457,-0.623,1.287,40.771,8.606,25.146,0.679,0.538,1.47,-41.138,6.897,-44.861,67,151,Vlad
0.439,-0.661,1.318,44.312,1.587,24.353,0.565,0.537,1.506,-38.147,10.376,-44.678,67,152,Vlad
0.465,-0.625,1.367,45.532,-1.77,23.254,0.724,0.565,1.524,-38.33,2.014,-44.617,67,153,Vlad
0.421,-0.688,1.359,47.241,3.113,25.269,0.675,0.613,1.5,-39.429,1.77,-45.044,67,154,Vlad
0.458,-0.626,1.413,50.11,5.676,22.827,0.571,0.618,1.499,-36.743,4.028,-47.18,67,155,Vlad
0.32,-0.655,1.413,47.424,10.01,27.71,0.528,0.6,1.553,-32.593,-0.305,-47.485,67,156,Vlad
0.323,-0.577,1.491,45.044,5.249,24.597,0.587,0.607,1.521,-31.799,-0.549,-46.143,67,157,Vlad
0.535,-0.582,1.466,35.95,-7.568,26.367,0.557,0.659,1.514,-29.175,3.418,-46.448,67,158,Vlad
0.448,-0.743,1.451,36.072,-13.245,26.672,0.516,0.699,1.505,-28.87,10.315,-46.204,67,159,Vlad
0.345,-0.738,1.47,39.001,-8.789,32.043,0.551,0.68,1.552,-27.832,14.221,-43.884,67,160,Vlad
0.355,-0.706,1.471,36.56,-3.54,31.128,0.607,0.674,1.629,-29.114,13.0,-41.382,67,161,Vlad
0.364,-0.646,1.478,35.95,6.775,27.344,0.627,0.651,1.607,-28.809,17.334,-40.894,67,162,Vlad
0.402,-0.641,1.492,36.743,15.686,22.583,0.661,0.663,1.657,-26.367,16.785,-43.579,67,163,Vlad
0.446,-0.776,1.458,32.654,8.545,26.611,0.504,0.681,1.711,-27.71,12.573,-45.654,67,164,Vlad
