Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X	Magnetic field Y	Magnetic field Z	Temperature()	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
22:35:14.093	COM3_115200	2000-0-0 0:25:54.365	0,548	-0,434	1,442	-37,537	4,578	-36,194	-55,712	-18,457	174,045	-41,250	127,100	30,592	38,69															
22:35:14.124	COM3_115200	2000-0-0 0:25:54.385	0,537	-0,454	1,390	-39,917	-5,859	-36,499	-55,953	-19,050	173,628	-42,283	126,167	31,367	38,67															
22:35:14.124	COM8_115200	2000-0-0 0:31:5.590	0,678	0,350	1,363	66,956	-2,319	31,677	48,323	-33,893	-30,454	-48,158	62,258	41,300	36,08															
22:35:14.124	COM3_115200	2000-0-0 0:25:54.405	0,470	-0,418	1,418	-42,908	-12,817	-39,001	-56,277	-19,792	173,375	-43,242	125,225	32,225	38,69															
22:35:14.124	COM3_115200	2000-0-0 0:25:54.425	0,551	-0,403	1,411	-48,828	-9,583	-39,368	-56,673	-20,544	173,062	-44,058	124,208	33,017	38,75															
22:35:14.124	COM3_115200	2000-0-0 0:25:54.445	0,506	-0,422	1,346	-52,246	-13,000	-37,048	-57,151	-21,275	172,804	-44,900	123,092	33,958	38,69															
22:35:14.140	COM8_115200	2000-0-0 0:31:5.610	0,684	0,305	1,381	70,435	1,282	31,616	49,026	-34,272	-29,905	-48,158	62,258	41,300	35,97															
22:35:14.140	COM8_115200	2000-0-0 0:31:5.630	0,714	0,287	1,412	70,007	6,042	31,372	49,664	-34,579	-29,240	-48,158	62,258	41,300	35,98															
22:35:14.155	COM3_115200	2000-0-0 0:25:54.465	0,486	-0,389	1,333	-56,335	-11,353	-38,391	-57,711	-22,011	172,562	-45,675	121,967	35,092	38,70															
22:35:14.171	COM8_115200	2000-0-0 0:31:5.650	0,744	0,254	1,314	68,481	13,367	29,419	50,229	-34,821	-28,477	-48,158	62,258	41,300	36,00															
22:35:14.171	COM3_115200	2000-0-0 0:25:54.485	0,574	-0,408	1,295	-57,495	-7,690	-38,025	-58,271	-22,731	172,238	-46,408	120,750	36,242	38,64															
22:35:14.187	COM8_115200	2000-0-0 0:31:5.670	0,689	0,277	1,324	60,547	21,606	22,278	50,603	-34,882	-27,658	-48,158	62,258	41,300	35,93															
22:35:14.202	COM3_115200	2000-0-0 0:25:54.505	0,700	-0,433	1,279	-55,542	-8,362	-34,851	-58,821	-23,401	171,931	-47,042	119,375	37,425	38,76															
22:35:14.218	COM8_115200	2000-0-0 0:31:5.690	0,759	0,208	1,296	62,134	32,715	23,010	50,850	-34,750	-26,675	-48,158	62,258	41,300	35,98															
22:35:14.218	COM3_115200	2000-0-0 0:25:54.525	0,647	-0,429	1,277	-53,772	-5,432	-34,973	-59,310	-24,033	171,617	-47,750	117,992	38,750	38,66															
22:35:14.218	COM8_115200	2000-0-0 0:31:5.710	0,858	0,215	1,236	55,359	19,836	23,193	51,064	-34,700	-25,790	-48,158	62,258	41,300	36,00															
22:35:14.249	COM3_115200	2000-0-0 0:25:54.545	0,634	-0,372	1,312	-54,749	-4,944	-37,537	-59,771	-24,703	171,249	-48,425	116,600	39,942	38,76															
22:35:14.249	COM3_115200	2000-0-0 0:25:54.565	0,657	-0,371	1,239	-54,016	-10,803	-33,875	-60,255	-25,389	170,936	-49,108	115,108	41,075	38,66															
22:35:14.249	COM8_115200	2000-0-0 0:31:5.730	0,787	0,211	1,282	48,584	14,465	21,912	51,235	-34,799	-25,098	-48,158	62,258	41,300	35,98															
22:35:14.265	COM3_115200	2000-0-0 0:25:54.585	0,575	-0,321	1,212	-52,612	-11,841	-33,813	-60,749	-26,076	170,766	-49,742	113,550	42,142	38,71															
22:35:14.280	COM8_115200	2000-0-0 0:31:5.750	0,823	0,180	1,308	46,387	16,907	21,240	51,345	-34,865	-24,412	-48,158	62,258	41,300	36,00															
22:35:14.280	COM8_115200	2000-0-0 0:31:5.770	0,788	0,173	1,342	41,687	12,878	23,743	51,345	-34,975	-23,719	-48,158	62,258	41,300	35,93															
22:35:14.296	COM3_115200	2000-0-0 0:25:54.605	0,542	-0,241	1,198	-50,232	-10,254	-37,720	-61,161	-26,790	170,502	-50,275	111,933	43,358	38,70															
22:35:14.312	COM8_115200	2000-0-0 0:31:5.790	0,732	0,155	1,344	37,842	4,089	23,804	51,345	-35,184	-23,154	-48,158	62,258	41,300	36,02															
22:35:14.312	COM3_115200	2000-0-0 0:25:54.625	0,597	-0,220	1,189	-47,424	-16,541	-38,757	-61,523	-27,587	170,261	-50,817	110,358	44,392	38,73															
22:35:14.327	COM3_115200	2000-0-0 0:25:54.645	0,543	-0,195	1,196	-45,471	-17,090	-37,842	-61,859	-28,416	170,129	-51,325	108,875	45,450	38,67															
22:35:14.343	COM8_115200	2000-0-0 0:31:5.810	0,725	0,138	1,378	33,691	-2,258	26,733	51,312	-35,535	-22,731	-48,158	62,258	41,300	35,96															
22:35:14.343	COM8_115200	2000-0-0 0:31:5.830	0,643	0,088	1,387	36,743	3,662	26,917	51,240	-35,876	-22,247	-48,158	62,258	41,300	36,04															
22:35:14.358	COM3_115200	2000-0-0 0:25:54.665	0,513	-0,170	1,211	-44,922	-10,315	-37,109	-62,117	-29,174	169,887	-51,742	107,383	46,442	38,70															
22:35:14.358	COM8_115200	2000-0-0 0:31:5.850	0,706	0,068	1,375	39,063	3,235	30,151	51,158	-36,183	-21,638	-48,158	62,258	41,300	36,03															
